S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
117,IX,117,Sathiyamoorthi Nagar,8.24,10.09,9.502,9.74,9.77,9.68,10.23,8.501,8.252,8.059,6.6,6.12
118,IX,118,Teynampet,6.88,7.65,8.038,8.46,9.2,8.724,9.608,8.738,8.279,8.641,5.66,1.15
119,IX,119,Azad Nagar North / South,6.1,6.707,7.102,7.57,7.9,7.809,7.894,7.004,6.186,6.731,3.69,4.46
120,IX,120,Krishnampet,,3.841,3.839,4.2,4.34,4.086,4.264,4.12,4.17,6.771,0.87,2.05
121,IX,121,Vivekanandhapuram,2.18,2.459,2.657,2.75,2.85,2.082,2.568,2.31,2.22,3.629,0.59,1.55
122,IX,122,Alwarpet (South),10.36,11.595,12.382,13.6,14.26,13.955,14.633,14.439,12.262,12.66,11.06,9.96
123,IX,123,Bhemmannapet,5.96,6.715,6.215,7.03,7.69,6.411,14.594,5.499,5.195,5.379,2.72,5.3
124,IX,124,Mylapore,3.8,6.182,4.313,4.62,4.8,4.31,4.68,3.427,3.249,3.392,2.23,2.48
125,IX,125,Santhome,0.65,0.927,0.977,1.37,1.87,1.92,2.05,1.248,1.251,1.313,0.47,0.99
126,IX,126,Avvai Nagar North,4.58,5.15,4.948,5.05,5.19,4.812,4.639,4.296,4.141,4.486,3.54,4
127,X,127,Virugambakkam North,12.57,14.077,13.951,14.14,15.8,15.193,15.463,13.988,13.941,14.068,10.89,11.12
128,X,128,Virugambakkam South,2.53,2.863,2.376,2.74,3.02,2.668,3.092,2.319,2.206,2.383,1.32,1.34
129,X,129,Saligramam,,1.867,1.234,1.62,2.05,1.384,1.842,0.979,1.25,1.179,0.37,1.17
130,X,130,Vadapalani West,3.94,4.38,4.686,5.44,5.92,5.902,6.174,5.423,4.52,5.141,2.64,3.39
131,X,131,Kodambakkam North,1.69,1.869,1.508,1.93,2.15,1.73,1.754,1.051,1.01,1.133,0.26,1.16
132,X,132,Ashok Nagar,3.37,4.089,3.033,4.72,5.17,3.772,3.89,2.226,2.226,2.86,1.27,2.63
133,X,133,MGR Nagar,4.54,4.973,5.091,5.45,5.77,5.804,6.23,4.934,4.157,4.708,3.41,3.6
134,X,134,Navalar Nedunchezian Nagar East,3.37,3.879,3.811,4.54,4.75,4.262,4.86,3.305,2.8,2.917,1.7,4.87
135,X,135,Kamarajar Nagar South / East,3.56,5.185,5.092,5.6,6.73,5.161,6.23,2.748,2.79,3.685,0.04,3.28
136,X,136,Thiyagaraya Nagar,4.81,5.68,6.194,6.31,6.99,5.405,6.23,4.377,4.206,4.632,1.58,3.96
137,X,137,Kodambakkam (S),1.81,2.581,1.715,2.01,2.2,1.803,1.924,1.227,1.113,1.46,0.57,1.45
138,X,138,Kalaignar Karunanidhi Nagar,15.88,16.508,15.925,16.34,17.56,14.205,14.96,12.043,10.626,12.616,8.96,10.55
139,X,139,Saidapet (West),2.35,2.828,2.399,3.52,4.28,3.258,3.87,1.487,1.188,1.465,0.16,1.43
140,X,140,Kumaran Nagar North / South,3.7,4.116,4.413,4.68,5.08,4.598,4.831,3.686,3.159,3.662,2.03,2.2
141,X,141,VOC Nagar,10.75,11.358,11.496,11.94,12.19,12.099,12.248,11.712,11.413,11.747,9.52,9.41
142,X,142,Saidapet East,6.29,6.637,6.936,7.49,7.74,7.8,7.677,7.263,6.758,6.675,5.92,4.61
143,XI,143,Nolambur,2.48,2.586,2.5,2.92,3.01,3.21,3.52,3.21,1.498,1.017,0.9,1.09
144,XI,144,Mettukuppam,8.65,9.26,9.86,5.02,5.48,5.118,5.603,4.219,4.064,4.454,2.34,2.38
145,XI,145,Nerkundram,3.59,4.41,4.34,4.91,4.98,4.928,5.275,4.108,3.534,3.97,0.53,2.06
146,XI,146,Nerkundram,1.81,2.366,2.49,3.25,3.48,3.4,3.86,3.68,2.867,3.222,0.7,0.8
147,XI,147,Maduravoyal,1.17,1.854,2.076,2.7,2.7,2.476,3.059,1.742,1.428,1.883,0.77,0.97
148,XI,148,Nerkundram,2.09,2.688,2.189,3,3.5,3.13,3.54,2.156,1.853,1.908,0.38,0.8
149,XI,149,Valasaravakkam,2.59,2.996,2.455,3.13,3.32,3.125,3.443,3.25,2.355,2.479,0.64,1.67
150,XI,150,Karambakkam,1.54,2.057,2.015,2.53,2.64,2.253,2.67,1.469,1.367,1.246,0.23,0.56
151,XI,151,Porur,2.61,3.052,3.119,3.79,3.93,3.744,3.81,3.084,2.96,3.314,2.4,1.87
152,XI,152,Valasaravakkam,2.8,3.051,3.039,3.44,3.79,3.687,3.908,3.11,2.736,2.801,2.23,1.72
153,XI,153,Porur,3.25,3.589,3.408,4.3,4.56,4.45,4.26,4.15,4.32,3.6,2.94,3.79
154,XI,154,Ramapuram,2.79,3.393,3.069,3.74,3.87,3.27,4.15,3.25,2.792,3.285,1.82,2.01
