S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
50,V,50,Royapuram,2.175,2.393,2.48,2.522,2.53,2.62,2.635,2.655,2.68,2.71,2.32,3.58
51,V,51,Narayana Garden / Old Washermenpet,2.866,3.179,3.54,4.193,3.97,3.87,3.988,4.125,4.26,4.26,2.81,3.969
52,V,52,Meenakshiammanpet,3.551,3.764,4.01,4.294,4.38,4.59,4.438,4.609,4.71,4.72,3.22,3.143
53,V,53,Basin Bridge,24.832,0,24.83,24.82,24.83,24.83,24.83,24.83,24.83,24.83,24.83,25.86
54,V,54,Kondithope / Peddunaickenpet,3.008,3.304,3.64,4.246,4.21,3.65,4.122,3.812,4.14,4.27,3.66,5.169
55,V,55,Seven Wells (North / South),3.218,4.494,4.97,5.492,5.51,5.27,5.692,5.987,6.2,6.3,4.85,2.752
56,V,56,Muthialpet,4.068,10.771,10.972,10.689,10.67,10.52,10.605,10.6,,10.48,,9.812
57,V,57,Sowcarpet,10.877,4.189,4.61,5.153,5.12,5.41,5.529,5.92,6.01,6.1,4.69,4.344
58,V,58,Poonga Nagar,7.977,8.438,9.08,9.454,9.46,9.99,9.977,10.033,10,9.68,8.05,9.059
59,V,59,Edapalayam / Nehru Nagar,5.284,6.062,6.7,7.204,7.14,6.86,7.29,7.47,7.47,7.49,5.3,7.44
60,V,60,Vallal Seethakathi Nagar,3.887,3.889,3.9,3.908,3.9,3.95,3.962,3.983,4,4.02,4.02,4.91
61,V,61,Egmore / Pudupet,5.687,6.406,7.18,8.082,8.24,8.98,9.078,9.598,9.52,9.38,6.66,9.626
62,V,62,Chintadripet,2.172,2.55,2.72,2.988,2.95,2.49,2.746,2.74,2.71,2.68,1.96,3.799
63,V,63,Komaleeswaranpet,,3.183,4.22,4.867,4.81,4.63,4.99,5.36,5.66,5.37,3.15,2.788
64,VI,64,Kolathur,1.496,1.856,2.1,2.38,2.38,0.9,1.236,2.075,2.35,1.66,1.53,1.78
65,VI,65,Venus Nagar,1.413,1.12,1.56,2.033,2.12,0.45,0.675,1.026,1.29,0.77,0.76,1.526
