S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year,Post-Monsoon Rise,Recharge Potential,Low Level
108.0,VIII,108,Aminjikarai Central,1.87,1.98,2.14,2.45,2.71,2.98,2.02,1.85,1.23,1.1,0.69,1.346,1.8638333333333337,2021,-1.88,Low,Yes
111.0,IX,111,Thousand Lights,10.93,11.73,12.06,11.29,9.81,9.73,10.04,11.49,11.62,12.09,9.144,9.098,10.75266666666667,2021,2.3599999999999994,High,No
117.0,IX,117,Sathiyamoorthi Nagar,6.75,6.83,6.81,7.17,6.79,6.67,6.64,7.48,6.93,6.83,2.806,4.65,6.363,2021,0.16000000000000014,High,No
118.0,IX,118,Teynampet,11.6,11.07,10.84,10.78,10.32,10.86,10.73,7.16,10.78,10.67,3.801,4.981,9.466,2021,-0.1899999999999995,High,No
122.0,IX,122,Alwarpet (South),10.39,10.9,11.58,12.38,11.93,12.02,11.75,3.06,12.11,12.09,4.406,8.546,10.096833333333334,2021,0.07000000000000028,High,No
137.0,X,137,Kodambakkam (S),2.02,2.07,2.09,2.5,2.6,2.66,2.16,1.99,1.6,1.22,0.612,1.676,1.9331666666666665,2021,-1.4400000000000002,Low,Yes
138.0,X,138,Kalaignar Karunanidhi Nagar,9.79,10.52,15.48,0.0,14.82,16.24,15.94,15.22,14.49,15.81,6.339,7.28,11.827416666666664,2021,-0.42999999999999794,High,No
140.0,X,140,Kumaran Nagar North / South,2.64,3.32,3.69,3.91,3.66,3.8,3.55,7.96,3.68,3.45,0.579,1.579,3.484833333333334,2021,-0.34999999999999964,High,No
141.0,X,141,VOC Nagar,10.98,11.15,11.39,11.34,10.61,10.49,10.54,10.78,10.84,11.11,7.838,9.269,10.528083333333333,2021,0.6199999999999992,High,No
142.0,X,142,Saidapet East,7.31,7.4,7.54,7.75,7.89,7.97,7.89,7.92,7.84,7.68,4.861,5.031,7.256833333333334,2021,-0.29000000000000004,High,No
144.0,XI,144,Mettukuppam,3.53,4.33,4.97,5.38,5.41,5.78,5.64,5.6,5.54,5.27,0.963,2.221,4.552833333333333,2021,-0.5100000000000007,High,No
146.0,XI,146,Nerkundram,2.2,2.88,3.2,3.49,3.84,4.26,4.11,0.0,4.25,4.2,1.2,0.929,2.879916666666667,2021,-0.05999999999999961,High,No
147.0,XI,147,Maduravoyal,1.23,2.07,2.56,2.75,3.3,3.54,3.44,4.23,3.7,3.56,,0.269,2.786272727272727,2021,0.020000000000000018,High,No
148.0,XI,148,Nerkundram,2.03,2.51,3.06,2.74,3.29,4.02,3.65,3.72,0.0,3.25,0.537,1.36,2.5139166666666664,2021,-0.7699999999999996,Low,Yes
151.0,XI,151,Porur,2.48,3.07,3.49,3.18,3.37,4.66,4.62,3.16,4.77,4.69,0.773,1.485,3.312333333333333,2021,0.03000000000000025,High,No
152.0,XI,152,Valasaravakkam,2.99,3.38,3.73,3.93,4.26,4.78,4.76,4.73,5.0,5.11,1.563,2.188,3.868416666666667,2021,0.33000000000000007,High,No
153.0,XI,153,Porur,3.18,3.62,3.98,4.11,4.41,4.69,4.39,5.02,4.61,4.98,2.397,2.927,4.026166666666668,2021,0.29000000000000004,High,No
154.0,XI,154,Ramapuram,2.95,3.67,4.05,4.19,4.54,5.18,5.03,4.09,4.96,4.78,0.157,1.586,3.76525,2021,-0.39999999999999947,High,No
155.0,XI,155,Ramapuram,3.06,3.26,3.48,4.44,4.81,4.37,4.37,4.88,4.38,4.3,0.44,1.923,3.64275,2021,-0.07000000000000028,High,No
156.0,XII,156,Mugalivakkam,11.82,12.76,14.07,14.67,14.27,15.11,15.12,4.38,15.41,15.22,9.035,11.937,12.816833333333333,2021,0.11000000000000121,High,No
157.0,XII,157,Manapakkam,2.26,3.23,4.02,5.0,5.67,6.48,6.48,15.19,6.62,5.98,0.658,1.91,5.291499999999999,2021,-0.5,High,No
161.0,XII,161,Alandur Part / Adampakkam Part,2.7,2.8,2.61,2.65,2.97,2.71,2.79,4.48,2.55,2.55,1.83,2.634,2.7728333333333333,2021,-0.16000000000000014,High,No
166.0,XII,166,B.V.Nagar / Nanganallur Part,1.97,2.37,2.51,3.24,3.2,4.76,2.64,2.79,1.88,1.82,1.409,2.097,2.557166666666667,2021,-2.9399999999999995,Low,Yes
170.0,XIII,170,Guindy West,4.3,4.64,4.82,5.12,5.17,5.32,5.19,2.48,5.17,4.99,0.871,2.774,4.237083333333334,2021,-0.33000000000000007,High,No
171.0,XIII,171,GD Naidu Nagar South,5.68,5.94,6.17,6.44,6.38,6.5,6.29,5.22,6.42,6.3,1.25,3.433,5.501916666666666,2021,-0.20000000000000018,High,No
172.0,XIII,172,GD Naidu Nagar East,1.19,1.13,1.56,1.67,1.74,2.89,1.52,6.35,1.2,2.27,,0.302,1.9838181818181817,2021,-0.6200000000000001,Low,Yes
173.0,XIII,173,Raja Annamalaipuram,1.45,1.65,1.83,1.92,2.03,1.8,1.61,1.47,0.0,1.18,0.031,1.11,1.3400833333333333,2021,-0.6200000000000001,Low,Yes
174.0,XIII,174,Guindy East,1.4,1.53,1.74,1.58,1.86,2.07,1.71,1.52,1.31,1.29,0.875,1.605,1.5408333333333335,2021,-0.7799999999999998,Low,Yes
177.0,XIII,177,Velachery,2.03,2.65,2.87,2.98,2.67,2.01,1.93,4.06,0.0,1.09,0.575,1.006,1.9892499999999995,2021,-0.9199999999999997,Low,Yes
178.0,XIII,178,Velachery,1.11,1.13,1.21,1.17,1.16,0.98,0.66,1.38,0.34,0.41,0.211,0.545,0.8588333333333334,2021,-0.5700000000000001,Low,Yes
179.0,XIII,179,Velachery,2.81,3.11,3.24,3.42,3.47,3.35,2.77,0.48,2.1,1.82,0.952,1.977,2.45825,2021,-1.53,Low,Yes
180.0,XIII,180,Thiruvanmiyur West,1.02,1.24,1.46,1.57,1.87,1.62,1.47,2.46,0.74,0.9,0.304,0.48,1.2611666666666668,2021,-0.7200000000000001,Low,Yes
181.0,XIII,181,Thiruvanmiyur,1.83,2.07,2.26,2.42,2.56,2.68,2.63,1.05,2.48,2.17,0.41,1.125,1.97375,2021,-0.5100000000000002,High,Yes
,XIV,169,Puzhuthivakkam,0.87,1.29,1.74,2.43,1.99,2.06,1.27,6.23,0.17,0.31,,0.52,1.7163636363636365,2021,-1.75,Low,Yes
185.0,XIV,185,Palavakkam,3.37,3.57,3.62,3.85,3.99,4.07,3.86,3.02,3.71,3.63,2.269,3.064,3.501916666666667,2021,-0.4400000000000004,High,No
187.0,XIV,187,Madipakkam,1.45,1.84,2.2,2.42,2.94,3.31,2.75,3.02,2.14,2.35,0.17,0.358,2.079,2021,-0.96,Low,Yes
192.0,XV,192,Neelankarai,4.5,4.62,4.99,5.37,5.67,5.85,5.78,5.86,5.93,5.82,2.444,3.463,5.02475,2021,-0.02999999999999936,High,No
193.0,XV,193,Neelankarai,1.81,2.24,2.45,2.67,3.47,3.53,3.51,3.39,3.02,3.06,2.222,2.456,2.8190000000000004,2021,-0.46999999999999975,High,No
194.0,XV,194,Okkiyam Thuraipakkam,2.14,2.24,2.42,2.64,2.53,2.62,2.38,2.14,2.09,2.06,1.299,1.902,2.205083333333333,2021,-0.56,High,Yes
195.0,XV,195,Okkiyam Thuraipakkam,1.8,2.21,2.01,2.1,1.96,1.93,1.79,1.53,1.59,1.69,1.027,1.706,1.7785833333333334,2021,-0.24,High,Yes
196.0,XV,196,Injampakkam,5.62,5.92,6.15,6.44,6.6,6.76,6.74,6.74,6.7,6.5,4.831,5.149,6.179166666666667,2021,-0.2599999999999998,High,No
199.0,XV,199,Uthandi,1.82,1.93,2.19,2.48,2.58,2.77,2.61,2.82,2.43,2.19,0.588,1.155,2.13025,2021,-0.5800000000000001,Low,Yes
1.0,I,1,Kathivakkam,1.619,1.706,1.72,1.71,1.76,1.68,1.68,1.68,1.54,1.38,1.4,1.427,1.6084999999999996,2022,-0.30000000000000004,High,Yes
2.0,I,2,Kathivakkam,3.202,3.249,3.29,3.3,3.32,3.39,3.4,3.431,3.44,3.4,3.21,3.348,3.331666666666667,2022,0.009999999999999787,High,No
3.0,I,3,Ernavoor,2.135,2.255,2.3,2.301,2.3,2.11,2.29,2.28,2.22,1.99,1.91,3.113,2.267,2022,-0.11999999999999988,High,Yes
4.0,I,4,Sadaiyankuppam,3.321,3.482,3.61,10.36,3.72,3.81,3.8,3.8,3.8,3.45,3.27,3.17,4.132750000000001,2022,-0.3599999999999999,High,No
5.0,I,5,Kamadhenu Nagar,3.211,3.326,3.45,3.52,3.38,3.15,0.0,,3.52,3.25,,3.93,3.0736999999999997,2022,0.10000000000000009,High,No
6.0,I,6,Murugappa Nagar,1.354,1.486,1.57,1.652,1.68,1.76,1.761,1.774,1.8,1.71,1.71,1.036,1.6077500000000002,2022,-0.050000000000000044,High,Yes
7.0,I,7,Raja Shanmugam Nagar,1.317,1.46,1.58,1.916,1.97,1.4,1.489,1.558,1.56,1.37,1.07,1.39,1.5066666666666668,2022,-0.029999999999999805,High,Yes
8.0,I,8,Gandhinagar,4.053,4.183,4.26,4.343,4.36,4.44,4.478,4.515,4.52,4.41,4.19,5.326,4.423166666666666,2022,-0.03000000000000025,High,No
9.0,I,9,Amsa Thottam,6.276,6.496,6.75,6.989,7.04,6.77,6.77,6.97,7.09,6.82,6.17,5.88,6.668416666666666,2022,0.05000000000000071,High,No
10.0,I,10,Chinna Mettupalaiyam,3.848,4.032,4.16,4.434,4.49,4.63,4.694,4.83,4.96,4.98,3.95,2.916,4.327000000000001,2022,0.35000000000000053,High,No
11.0,I,11,Ondikuppam,3.57,3.913,4.25,4.595,4.65,4.52,4.49,4.709,4.77,4.53,3.46,3.094,4.212583333333334,2022,0.010000000000000675,High,No
12.0,I,12,Sathankadu,2.51,2.67,2.86,3.039,3.09,3.3,3.3,3.3,3.68,3.75,2.75,3.01,3.104916666666666,2022,0.4500000000000002,High,No
13.0,I,13,Thilagar Nagar,,0.431,0.29,0.17,0.15,0.04,0.002,0.044,0.09,0.09,0.09,1.09,0.2260909090909091,2022,0.049999999999999996,High,Yes
14.0,I,14,Kaladipettai,4.627,4.906,5.14,5.752,5.63,5.24,5.572,5.664,5.78,5.27,5.56,5.87,5.417583333333334,2022,0.02999999999999936,High,No
15.0,I,15,Edayanchavadi,0.851,1.246,1.6,2.04,2.13,1.53,1.483,2.035,2.07,1.47,0.74,1.74,1.5779166666666666,2022,-0.06000000000000005,High,Yes
16.0,I,16,Sadayankuppam,0.474,0.886,1.31,1.76,1.86,1.28,1.444,1.752,1.59,1.11,0.32,1.23,1.2513333333333334,2022,-0.16999999999999993,High,Yes
17.0,I,17,Theeumpakkam,0.276,0.852,1.48,2.13,2.69,1.48,1.654,2.233,2.07,1.02,0.08,1.39,1.44625,2022,-0.45999999999999996,High,Yes
18.0,I,18,Manali,1.602,2.212,2.77,5.79,5.62,5.2,5.522,3.708,5.91,6.34,4.25,3.543,4.37225,2022,1.1399999999999997,High,No
19.0,I,19,Chinna Mathur,4.476,4.764,5.55,6.83,6.93,6.38,6.349,6.916,7.0,7.03,,7.09,6.301363636363636,2022,0.6500000000000004,High,No
20.0,I,20,Mathur,4.606,6.763,6.19,8.49,8.15,7.76,7.646,7.524,7.32,7.79,5.65,8.202,7.174250000000001,2022,0.03000000000000025,High,No
