Location,Yearly Average,Trend
Meenampakkam,3.7418333333333336,Declining
Alandur,4.092333333333333,Declining
Alandur Part / Adampakkam Part,2.7728333333333333,Declining
T.G.Nagar / Nanganallur Part,3.5062499999999996,Declining
Adampakkam Part,2.8480833333333333,Declining
Nanganallur Part / Pazhavanthangal Part,3.542666666666667,Declining
Nanganallur,2.825833333333333,Declining
Guindy West,4.237083333333334,Declining
GD Naidu Nagar South,5.501916666666666,Declining
GD Naidu Nagar East,1.9838181818181817,Declining
Raja Annamalaipuram,1.3400833333333333,Declining
Adyar West,4.468749999999999,Declining
Adyar East,3.4347499999999997,Declining
Velachery,1.9892499999999995,Declining
Velachery,0.8588333333333334,Declining
Velachery,2.45825,Declining
Thiruvanmiyur West,1.2611666666666668,Declining
Thiruvanmiyur,1.97375,Declining
Thiruvanmiyur,3.0518333333333327,Declining
Ullagaram,4.761916666666667,Declining
Puzhuthivakkam,1.7163636363636365,Declining
Kottivakkam,3.2785833333333336,Declining
Perungudi,3.8666666666666667,Declining
Palavakkam,3.501916666666667,Declining
Perungudi,9.011916666666668,Declining
Madipakkam,2.079,Declining
Madipakkam,3.572916666666666,Declining
Pallikaranai,3.677000000000001,Declining
Pallikarania,3.6408333333333336,Declining
Jalladampettai,4.22025,Declining
Neelankarai,5.02475,Declining
Okkiyam Thuraipakkam,2.205083333333333,Declining
Okkiyam Thuraipakkam,1.7785833333333334,Declining
Injampakkam,6.179166666666667,Declining
Karapakkam,2.9432500000000004,Declining
Shozhinganallur,4.221416666666667,Declining
Uthandi,2.13025,Declining
Semmenchery,3.2345,Declining
Kathivakkam,1.6084999999999996,Declining
Sadaiyankuppam,4.132750000000001,Declining
Murugappa Nagar,1.6077500000000002,Declining
Amsa Thottam,6.668416666666666,Declining
Chinna Mettupalaiyam,4.327000000000001,Declining
Ondikuppam,4.212583333333334,Declining
Chinna Sekadu (Part),2.168416666666667,Declining
Kodungaiyur (East),3.114833333333333,Declining
Korukkupet,2.2278333333333333,Declining
Tondiarpet,2.3008333333333333,Declining
Elango Nagar,7.1109166666666646,Declining
Vyasarpadi (South),2.7609166666666667,Declining
Dr.Radhakrishnan Nagar (South),2.108833333333333,Declining
Mottai Thottam,2.685749999999999,Declining
Grace Garden,3.682916666666666,Declining
Meenakshiammanpet,4.119083333333333,Declining
Seven Wells (North / South),5.06125,Declining
Sowcarpet,5.6626666666666665,Declining
Perambur (South),16.652,Declining
Dr Sathiyavanimuthu Nagar,3.136083333333333,Declining
Maraimalai Adikal Nagar,12.088,Declining
Kosappet,6.038999999999999,Declining
Athimulam Nagar,7.758166666666668,Declining
Kallikuppam,4.842083333333334,Declining
Korattur,2.426272727272727,Declining
Menambedu,7.38375,Declining
Villivakkam / Anna Nagar West,6.68175,Declining
Anna Nagar West Extension,2.80475,Declining
Pannerselvam Nagar,1.1095833333333334,Declining
Villivakkam South,7.929916666666667,Declining
Anna Nagar (Central),3.4480833333333334,Declining
Anna Nagar (East),2.7304166666666667,Declining
Shenoy Nagar,3.8303333333333334,Declining
Purasawalkam,4.203818181818182,Declining
Aminjikarai West,3.888333333333333,Declining
Aminjikarai East,2.8935,Declining
Chetpet / Kilpauk South,5.752666666666666,Declining
Periyar Nagar North,4.260916666666667,Declining
Nakkeerar Nagar,7.573250000000001,Declining
Santhome,0.9505,Declining
Vadapalani West,4.023666666666666,Declining
Kodambakkam North,1.6745,Declining
Navalar Nedunchezian Nagar East,3.5395,Declining
Thiyagaraya Nagar,5.031000000000001,Declining
Kalaignar Karunanidhi Nagar,14.82275,Declining
Saidapet (West),2.3422500000000004,Declining
Nolambur,3.1779166666666665,Declining
Mettukuppam,4.143999999999999,Declining
Nerkundram,4.405916666666667,Declining
Nerkundram,2.5380833333333337,Declining
Maduravoyal,2.0473333333333334,Declining
Valasaravakkam,2.5664166666666666,Declining
Karambakkam,1.9915833333333335,Declining
Valasaravakkam,3.5809999999999995,Declining
Porur,3.941666666666667,Declining
Manapakkam,3.880166666666667,Declining
Nandambakkam,5.511666666666667,Declining
Meenampakkam,4.238333333333334,Declining
Alandur Part / Adampakkam Part,2.764,Declining
Adampakkam Part,2.879583333333333,Declining
Adampakkam Part / Balaji Nagar,3.7853333333333334,Declining
Nanganallur,2.7616666666666667,Declining
Guindy East,1.5494285714285714,Declining
Velachery,0.781,Declining
Velachery,2.29025,Declining
Ullagaram,5.247833333333333,Declining
Puzhuthivakkam,1.156,Declining
Perungudi,3.3959166666666665,Declining
Madipakkam,3.8359166666666673,Declining
Pallikaranai,4.1625000000000005,Declining
Jalladampettai,3.6431818181818176,Declining
Okkiyam Thuraipakkam,2.611666666666667,Declining
Okkiyam Thuraipakkam,1.7603333333333335,Declining
Karapakkam,3.2962500000000006,Declining
Kathivakkam,1.5119166666666664,Declining
Ernavoor,2.1675833333333334,Declining
Sadaiyankuppam,3.629416666666667,Declining
Kamadhenu Nagar,3.3209166666666667,Declining
Murugappa Nagar,1.5544166666666666,Declining
Raja Shanmugam Nagar,1.6492499999999997,Declining
Gandhinagar,3.7667499999999996,Declining
Amsa Thottam,6.747333333333334,Declining
Chinna Mettupalaiyam,5.1531666666666665,Declining
Ondikuppam,4.340916666666667,Declining
Sathankadu,3.07725,Declining
Thilagar Nagar,1.3794166666666667,Declining
Kaladipettai,5.984916666666667,Declining
Edayanchavadi,1.4376666666666662,Declining
Sadayankuppam,1.1255000000000002,Declining
Chinna Mathur,5.889500000000001,Declining
Mathur,6.587,Declining
Chinna Sekadu (Part),2.5621666666666667,Declining
Kavankarai,3.3647500000000004,Declining
Puzhal,7.441583333333331,Declining
Surappattu,16.295916666666667,Declining
Kathirvedu,13.663666666666666,Declining
Madhavaram,10.488,Declining
Milk Colony,5.5075,Declining
Chinna Sekadu,2.9723333333333333,Declining
Chinnandi Madam,1.6467500000000002,Declining
Moolakadai,5.885000000000001,Declining
Thatankulam,4.85775,Declining
Kodungaiyur (West),3.988416666666667,Declining
Thiruvalluvar Nagar,6.001916666666666,Declining
Perambur (East),5.174181818181818,Declining
Kodungaiyur (East),2.6763333333333335,Declining
Dr.Radhakrishnan Nagar (North),2.6998333333333338,Declining
Cheriyan Nagar North / South,4.212083333333333,Declining
Jeeva Nagar (North),2.6272499999999996,Declining
Vyasarpadi North / Kumarasamy Nagar North,2.0124999999999997,Declining
Korukkupet,2.537916666666667,Declining
Tondiarpet,2.761583333333333,Declining
Perambur (North),8.362416666666666,Declining
Elango Nagar,4.593833333333333,Declining
Vyasarpadi (South),2.859083333333334,Declining
Dr.Radhakrishnan Nagar (South),1.982083333333333,Declining
Mottai Thottam,2.8508333333333336,Declining
Grace Garden,3.799166666666667,Declining
Royapuram,2.4799166666666665,Declining
Narayana Garden / Old Washermenpet,3.7421666666666664,Declining
Meenakshiammanpet,4.104500000000001,Declining
Kondithope / Peddunaickenpet,3.7625833333333336,Declining
Seven Wells (North / South),6.035166666666666,Declining
Sowcarpet,5.912916666666667,Declining
Poonga Nagar,9.298416666666666,Declining
Edapalayam / Nehru Nagar,6.936916666666666,Declining
Egmore / Pudupet,7.422249999999998,Declining
Chintadripet,2.493916666666667,Declining
Komaleeswaranpet,4.187333333333332,Declining
Kolathur,1.437,Declining
Venus Nagar,1.069,Declining
Agaram (North),2.155583333333333,Declining
Agaram (South),8.08875,Declining
Sembium,7.217166666666667,Declining
Perambur (South),12.77575,Declining
Thiru Vi Ka Nagar,12.658833333333334,Declining
Dr Sathiyavanimuthu Nagar,2.845833333333333,Declining
Pulianthope,8.045,Declining
Maraimalai Adikal Nagar,7.693583333333335,Declining
Kosappet,5.524416666666666,Declining
Dr. Besant Nagar/ Thattankulam,7.8075,Declining
Athimulam Nagar,9.37,Declining
Kallikuppam,8.486583333333334,Declining
Korattur,2.378,Declining
Menambedu,9.629083333333332,Declining
Ayyappakkam,5.503333333333334,Declining
Mathiyalagan Nagar,4.095249999999999,Declining
Villivakkam / Anna Nagar West,6.1022500000000015,Declining
Anna Nagar West Extension,2.7602500000000005,Declining
Padikuppam,3.347,Declining
Nolambur (Part) / Mugappair Eri Scheme,8.437499999999998,Declining
Padi Pudhu nagar,3.5817499999999995,Declining
Maduravoyal (Part) / Nerkundram (Part),2.6077500000000002,Declining
Villivakkam North,2.631,Declining
Vasantham Colony,5.25925,Declining
Viduthalai Gurusamy Nagar South,4.507000000000001,Declining
Ayanavaram,1.7603333333333333,Declining
Villivakkam South,7.194166666666667,Declining
Anna Nagar (West),7.718750000000001,Declining
Purasawalkam,4.2989999999999995,Declining
Aminjikarai West,4.533416666666667,Declining
Aminjikarai East,3.0079166666666666,Declining
Chetpet / Kilpauk South,5.230833333333333,Declining
Aminjikarai Central,2.597166666666667,Declining
Periyar Nagar North,4.976666666666667,Declining
Nungambakkam,7.910833333333334,Declining
Thousand Lights,12.830916666666665,Declining
Nakkeerar Nagar,6.835916666666666,Declining
Chepauk,4.766833333333333,Declining
Amir mahal,5.191833333333334,Declining
Sathiyamoorthi Nagar,8.732,Declining
Teynampet,7.5856666666666674,Declining
Azad Nagar North / South,6.596083333333332,Declining
Vivekanandhapuram,2.320416666666667,Declining
Alwarpet (South),12.597166666666666,Declining
Bhemmannapet,6.559,Declining
Mylapore,3.9569166666666664,Declining
Avvai Nagar North,4.569333333333334,Declining
Virugambakkam North,13.766750000000002,Declining
Virugambakkam South,2.40475,Declining
Vadapalani West,4.796333333333334,Declining
Kodambakkam North,1.4370833333333335,Declining
Ashok Nagar,3.271333333333334,Declining
MGR Nagar,4.888916666666666,Declining
Kamarajar Nagar South / East,4.175083333333333,Declining
Thiyagaraya Nagar,5.031166666666667,Declining
Kodambakkam (S),1.6552499999999999,Declining
Kalaignar Karunanidhi Nagar,13.847750000000003,Declining
Saidapet (West),2.3529166666666668,Declining
Kumaran Nagar North / South,3.84625,Declining
VOC Nagar,11.323583333333334,Declining
Saidapet East,6.816333333333333,Declining
Nolambur,2.3284166666666666,Declining
Mettukuppam,5.537333333333333,Declining
Nerkundram,3.88625,Declining
Nerkundram,2.660416666666667,Declining
Maduravoyal,1.9023333333333332,Declining
Nerkundram,2.2695000000000003,Declining
Valasaravakkam,2.621083333333333,Declining
Karambakkam,1.7147499999999998,Declining
Porur,3.14025,Declining
Valasaravakkam,3.026,Declining
Ramapuram,3.119916666666667,Declining
Ramapuram,3.66175,Declining
Nandambakkam,5.795583333333333,Declining
Meenampakkam,3.5720000000000005,Declining
Alandur,3.3234166666666667,Declining
Alandur Part / Adampakkam Part,2.623666666666667,Declining
T.G.Nagar / Nanganallur Part,2.7850833333333327,Declining
Adampakkam Part,2.408166666666667,Declining
Nanganallur Part / Pazhavanthangal Part,3.433000000000001,Declining
Adampakkam Part / Balaji Nagar,3.4884999999999997,Declining
B.V.Nagar / Nanganallur Part,2.0363333333333333,Declining
Nanganallur,2.539166666666667,Declining
Guindy West,4.3420000000000005,Declining
GD Naidu Nagar South,4.653083333333334,Declining
GD Naidu Nagar East,2.3793333333333333,Declining
Raja Annamalaipuram,1.93075,Declining
Adyar West,2.5703333333333336,Declining
Adyar East,2.44075,Declining
Velachery,2.03,Declining
Velachery,0.713,Declining
Thiruvanmiyur,2.8870833333333334,Declining
Ullagaram,4.23425,Declining
Puzhuthivakkam,1.6965000000000001,Declining
Kottivakkam,3.496833333333333,Declining
Perungudi,2.5599166666666666,Declining
Palavakkam,3.661999999999999,Declining
Perungudi,10.395000000000001,Declining
Madipakkam,1.2731666666666668,Declining
Pallikaranai,2.1308333333333334,Declining
Neelankarai,2.1607499999999997,Declining
Okkiyam Thuraipakkam,2.188166666666667,Declining
Okkiyam Thuraipakkam,1.7369166666666667,Declining
Injampakkam,6.208333333333333,Declining
Karapakkam,4.104333333333333,Declining
Shozhinganallur,5.9214166666666666,Declining
Semmenchery,3.9613333333333327,Declining
