S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar
148,XI,148,Nerkundram,1.6,5.44,3.1
149,XI,149,Valasaravakkam,2.24,2.91,3.19
150,XI,150,Karambakkam,0.9,1.31,1.59
151,XI,151,Porur,2.55,3.32,3.61
152,XI,152,Valasaravakkam,2.4,2.79,3.27
153,XI,153,Porur,4.41,4.52,4.76
154,XI,154,Ramapuram,2.68,3.37,3.95
155,XI,155,Ramapuram,2.75,3.23,3.61
156,XII,156,Mugalivakkam,Removed,Removed,Removed
157,XII,157,Manapakkam,3.25,3.81,4.57
158,XII,158,Nandambakkam,4,3.95,2.75
159,XII,159,Meenampakkam,3.73,4.96,5.49
160,XII,160,Alandur,1.76,3.11,6.7
161,XII,161,Alandur Part / Adampakkam Part,2.77,3.73,3.16
162,XII,162,T.G.Nagar / Nanganallur Part,2.86,3.78,3.95
163,XII,163,Adampakkam Part,2.47,4.3,5.09
164,XII,164,Nanganallur Part / Pazhavanthangal Part,3.91,4.42,4.95
165,XII,165,Adampakkam Part / Balaji Nagar,3.61,4.63,4.6
166,XII,166,B.V.Nagar / Nanganallur Part,2.31,3.16,4.4
167,XII,167,Nanganallur,2.12,2.87,3.08
170,XIII,170,Guindy West,3.84,4.42,4.95
171,XIII,171,GD Naidu Nagar South,4.14,4.88,5.32
172,XIII,172,GD Naidu Nagar East,2.04,3.3,3.09
173,XIII,173,Raja Annamalaipuram,1.58,1.86,2.01
174,XIII,174,Guindy East,1.48,2.03,2.01
175,XIII,175,Adyar West,2.08,2.85,3.34
176,XIII,176,Adyar East,1.69,2.24,2.72
177,XIII,177,Velachery,1.64,2.16,2.4
178,XIII,178,Velachery,0.85,0.9,1.04
179,XIII,179,Velachery,2.72,3.16,3.36
180,XIII,180,Thiruvanmiyur West,1.15,1.15,1.15
181,XIII,181,Thiruvanmiyur,1.36,1.74,1.97
182,XIII,182,Thiruvanmiyur,1.83,2.29,2.66
,XIV,168,Ullagaram,3.55,4.63,5.64
,XIV,169,Puzhuthivakkam,0.47,0.63,2.03
183,XIV,183,Kottivakkam,2.84,2.42,3.39
184,XIV,184,Perungudi,1.76,3.2,3.68
185,XIV,185,Palavakkam,3.26,3.7,3.96
186,XIV,186,Perungudi,7.14,9.72,11.16
187,XIV,187,Madipakkam,0.6,0.9,1.36
188,XIV,188,Madipakkam,1.9,2.77,3.59
189,XIV,189,Pallikaranai,0.8,1.1,2.68
190,XIV,190,Pallikarania,2.44,3.44,3.36
191,XIV,191,Jalladampettai,2.34,4.38,4.52
192,XV,192,Neelankarai,3.52,4.22,4.78
193,XV,193,Neelankarai,1.89,2.17,2.37
194,XV,194,Okkiyam Thuraipakkam,1.96,2.28,2.42
195,XV,195,Okkiyam Thuraipakkam,1.65,1.7,1.74
196,XV,196,Injampakkam,5.28,5.7,6.01
197,XV,197,Karapakkam,1.48,2.29,2.82
198,XV,198,Shozhinganallur,4.47,5.91,6.51
199,XV,199,Uthandi,0.84,1.38,1.76
200,XV,200,Semmenchery,2.81,3.58,3.59
