S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
40,IV,40,Jeeva Nagar (North),4.29,4.43,3.66,4.84,5.07,5.29,5.39,5.83,5.53,5.01,1.08,2.085
41,IV,41,Vyasarpadi North / Kumarasamy Nagar North,2.98,3.16,1.13,3.93,3.8,3.92,3.17,3.99,2.63,2.68,1.562,2.235
42,IV,42,Korukkupet,4.15,4.36,6.54,4.73,4.9,5.07,5.15,5.04,4.7,4.52,1.491,1.652
43,IV,43,Tondiarpet,2.91,3.12,7.4,3.55,3.78,3.95,4,11.36,3.93,3.88,1.477,1.587
44,IV,44,Perambur (North),17.03,17.06,17.18,17.68,18.06,18.42,18.52,18.28,18.02,17.8,13.667,12.442
45,IV,45,Elango Nagar,12.65,12.41,4.64,12.16,11.98,11.88,11.6,11.29,11.2,10.82,7.518,7.55
46,IV,46,Vyasarpadi (South),3.12,3.26,3.65,4.16,4.2,4.35,3.75,3.84,3.38,3.13,0.972,2.001
47,IV,47,Dr.Radhakrishnan Nagar (South),2.82,2.93,3.11,3.56,3.47,3.47,2.89,7.87,2.58,2.55,1.088,1.782
48,IV,48,Mottai Thottam,4.13,4.23,4.48,5.02,5.02,4.84,4.11,4.43,3.64,3.81,1.215,2.102
49,V,49,Grace Garden,7.44,7.76,7.93,8.8,9.07,9.52,8.58,7.9,7.75,7.4,3.606,3.401
50,V,50,Royapuram,3.85,4.04,4.17,4.28,4.35,4.4,4.42,4.93,4.43,4.42,2.182,2.273
51,V,51,Narayana Garden / Old Washermenpet,6.53,6.65,6.85,7.02,7.06,7.02,6.74,6.88,6.34,6.24,0,3.123
52,V,52,Meenakshiammanpet,7.24,7.21,7.39,7.35,7.28,7.26,7.13,3.9,6.85,6.63,4.501,3.984
53,V,53,Basin Bridge,12.82,12.95,13.1,13.29,13.28,13.37,13.05,7.02,12.84,12.58,10.531,11.085
54,V,54,Kondithope / Peddunaickenpet,3.93,4.08,4.22,4.71,4.36,4.28,3.94,4.98,3.9,4.03,2.236,3.042
55,V,55,Seven Wells (North / South),7.67,7.6,7.63,7.88,7.87,7.71,7.31,7.01,6.84,6.77,4.177,4.295
56,V,56,Muthialpet,10.67,11.5,11.51,11.52,11.51,11.52,11.51,11.36,11.46,11.4,11.042,10.944
57,V,57,Sowcarpet,7.84,7.59,7.52,7.62,7.55,7.31,6.77,6.32,6.28,6.25,3.737,3.9
58,V,58,Poonga Nagar,10.83,10.94,11.03,10.9,10.51,10.47,10.31,10.3,10.29,10.16,8.32,8.584
59,V,59,Edapalayam / Nehru Nagar,7.82,8.03,8.22,8.5,8.38,8.31,7.78,7.57,7.38,7.29,3.917,5.509
60,V,60,Vallal Seethakathi Nagar,3.69,3.73,3.76,3.79,3.82,3.84,3.86,3.89,3.9,3.92,3.91,3.899
61,V,61,Egmore / Pudupet,16.29,15.55,15.28,15.05,14.63,14.39,14.09,13.7,13.27,12.48,6.95,6.494
62,V,62,Chintadripet,2.55,2.83,3.1,3.26,3.24,3.13,2.66,2.58,2.52,2.47,1.11,2.194
63,V,63,Komaleeswaranpet,7.07,7.06,7.22,7.34,7.32,7.32,7.01,6.98,6.67,6.12,3.98,4.58
64,VI,64,Kolathur,1.46,1.76,1.96,1.92,2.07,2.08,1.1,0.76,1.18,0.74,0.316,1.444
65,VI,65,Venus Nagar,1.72,2.16,2.21,1.92,2.11,2.11,1.41,1.6,1.34,1.03,0.728,1.466
66,VI,66,Agaram (North),3.41,3.9,4.27,5.11,5.6,6.21,4.54,5.24,2.95,1.8,0.425,1.408
67,VI,67,Agaram (South),13.56,13.76,14.2,15.06,15.31,15.83,15.29,15.09,14.95,11.92,6.001,6.657
68,VI,68,Sembium,12.07,12.56,13.75,14.75,15.2,15.47,15.36,15.53,14.55,12.85,6.934,7.462
69,VI,69,Siruvallur,17.76,17.79,17.84,18.12,18.14,18.25,18.19,18.03,17.85,16.72,12.25,13.52
70,VI,70,Perambur (South),23.74,23.98,23.98,24.53,24.39,24.71,24.35,23.79,23.33,21.02,20.16,19.577
71,VI,71,Thiru Vi Ka Nagar,18.77,18.51,18.57,18.97,19.62,20.05,20.2,20.01,19.88,18.9,15.589,14.554
72,VI,72,Dr Sathiyavanimuthu Nagar,3.75,4.15,4.46,5.19,5.1,5.34,4.8,4.53,4.07,3.9,1.187,2.405
73,VI,73,Pulianthope,10.7,11.17,11.32,11.64,11.82,11.98,11.55,4.21,11.18,11.14,5.152,7.426
74,VI,74,Maraimalai Adikal Nagar,16.37,16.24,16.15,16.52,16.4,16.55,15.79,11.37,15.28,14.23,13.945,13.67
75,VI,75,Kosappet,12.98,13.16,13.44,13.6,13.66,15.96,13.12,15.41,12.61,12.33,1.65,3.879
76,VI,76,Pattalam SC (G),14.62,14.52,14.53,14.58,14.52,13.56,11.37,11.63,10.98,9.84,6.51,6.98
77,VI,77,Dr. Besant Nagar/ Thattankulam,11.79,11.64,11.73,12.03,12.01,12.11,9.53,9.07,10.52,9.85,4.088,7.014
78,VI,78,Choolai,8.06,9.27,9.28,10,10.06,10.25,10.01,9.65,9.09,9.01,3.535,6.176
79,VII,79,Banu Nagar,4.61,6.92,8.82,11.15,13.14,15.69,13.43,13.01,12.53,13.08,GL,2.05
80,VII,80,Athimulam Nagar,5.6,7.63,9.23,10.84,12.59,13.91,11.97,11.73,11.27,11.64,1.452,2.701
81,VII,86,Vijayalakshmipuram,13.34,14.35,15.65,17.64,20.11,23.08,22.7,10.88,21.32,20.8,4.708,4.55
82,VII,82,Kallikuppam,4.15,6.17,7.92,9.56,10.87,11.72,6.65,22.15,5.29,4.72,0.873,2.777
83,VII,83,Puthagaram,1.09,1.26,1.36,1.56,1.63,1.89,1.73,4.3,0.9,0.64,0.12,0.277
84,VII,84,Korattur,2.51,2.98,3.41,3.74,4.09,4.16,3.49,1.18,2.6,2.64,1.621,2.072
85,VII,85,Menambedu,5.17,6.63,8.1,10.16,11.8,12.94,11.73,2.71,10.98,7.69,2.179,4.246
86,VII,86,Ayyappakkam,3.19,3.66,4.13,4.54,4.85,5.25,5.39,10.39,5.28,5.15,1.476,2.444
87,VII,87,Mathiyalagan Nagar,5.36,5.52,5.71,6.6,6.54,6.85,5.52,5.17,4.1,4.01,2.241,4.027
88,VII,88,Villivakkam / Anna Nagar West,6.39,6.86,7.5,8.45,8.41,8.45,7.27,4.04,6.48,6.38,3.487,5.661
89,VII,89,Anna Nagar West Extension,2.69,3.04,3.51,4.1,4.58,4.72,4.15,6.25,3.24,2.99,1.735,2.484
90,VII,90,Padikuppam,3.85,4.34,4.78,6.37,5.78,5.61,5.26,3.39,3.53,3.41,1.743,3.223
91,VII,91,Nolambur (Part) / Mugappair Eri Scheme,8.06,8.62,9.01,9.68,9.65,10.12,10.1,3.5,9.58,9.32,6.182,7.595
92,VII,92,Padi Pudhu nagar,4.32,4.69,5.22,5.71,5.87,6.11,5.62,9.58,4.74,4.31,2.327,3.667
93,VII,93,Maduravoyal (Part) / Nerkundram (Part),3.23,3.61,4.07,4.52,4.72,4.81,4.37,4.92,3.42,3.16,1.847,2.658
94,VIII,94,Villivakkam North,1.25,1.88,2.08,2.72,4.35,5.04,3.04,2.21,2.1,1.61,0.444,1.152
95,VIII,95,Vasantham Colony,4.57,5.35,6.03,7.07,6.16,6.62,5.49,2.21,5.09,5.14,2.327,4.73
96,VIII,96,Viduthalai Gurusamy Nagar South,12.97,12.84,12.86,12.95,13.08,13.22,13.16,4.59,12.49,11.86,5.005,5.245
97,VIII,97,Ayanavaram,7.82,7.84,7.96,8.44,8.56,8.82,8.16,6.28,7.2,6.66,0.231,1.672
98,VIII,98,Pannerselvam Nagar,4.51,4.48,4.51,4.53,4.58,4.67,4.75,4.74,4.27,4.12,GL,0.515
99,VIII,99,Villivakkam South,7.52,7.68,7.84,9.05,8.08,8.85,7.62,6.28,6.69,6.78,3.206,6.64
100,VIII,100,Anna Nagar (West),6.19,7.33,8,9.3,8.95,9.89,8.95,8.21,7.17,6.93,2.305,4.504
101,VIII,101,Anna Nagar (Central),2.71,3.25,3.45,3.6,3.34,4.05,3.03,7.31,2.69,2.5,1.482,2.523
102,VIII,102,Anna Nagar (East),6.22,6.23,6.19,6.5,6.36,6.63,6.06,2.46,5.05,4.67,1.615,2.356
103,VIII,103,Shenoy Nagar,9.59,9.35,9.24,9.1,8.97,8.88,8.73,5.14,8.38,8.16,6.64,6.179
104,VIII,104,Purasawalkam,10.01,10.79,11.45,12.29,12.52,12.61,12.21,8.51,11.36,10.64,2.083,3.21
105,VIII,105,Aminjikarai West,4.05,4.18,5.47,6.14,6.51,7.08,6.11,5.87,4.73,4.33,1.255,2.696
106,VIII,106,Aminjikarai East,3.9,4.51,4.73,5.09,5.15,5.5,4.51,4.99,3.17,2.96,0.901,1.932
107,VIII,107,Chetpet / Kilpauk South,11.87,11.83,11.94,11.97,11.88,11.92,11.88,3.12,11.24,10.77,6.171,5.682
108,VIII,108,Aminjikarai Central,1.87,1.98,2.14,2.45,2.71,2.98,2.02,1.85,1.23,1.1,0.69,1.346
109,IX,109,Periyar Nagar North,10.75,11.06,11.21,11.42,11.63,11.75,11.38,10.97,10.7,9.79,3.122,3.992
110,IX,110,Nungambakkam,12.29,12.11,12.22,12.25,11.96,11.9,11.33,10.47,10.12,9.45,4.132,4.807
111,IX,111,Thousand Lights,10.93,11.73,12.06,11.29,9.81,9.73,10.04,11.49,11.62,12.09,9.144,9.098
112,IX,112,Vadapalani East,6.93,7.46,7.96,8.42,8.49,9.06,8.63,10.92,7.67,6.85,2.946,3.778
113,IX,113,Nakkeerar Nagar,16.21,16.53,16.73,16.96,16.88,17.05,16.62,7.96,15.66,14.96,8.116,6.977
114,IX,114,Chepauk,6.91,7.12,7.31,7.39,7.31,7.27,6.64,15.98,6.21,5.97,1.637,3.035
115,IX,115,Amir mahal,9.21,9.48,9.62,9.71,9.61,9.66,9.09,6.22,8.46,8.06,1.856,3.513
116,IX,116,Thiruvallikeni,8.24,8.3,7.85,8.39,7.98,9.42,8.26,8.56,7.65,6.82,2.605,3.202
117,IX,117,Sathiyamoorthi Nagar,6.75,6.83,6.81,7.17,6.79,6.67,6.64,7.48,6.93,6.83,2.806,4.65
118,IX,118,Teynampet,11.6,11.07,10.84,10.78,10.32,10.86,10.73,7.16,10.78,10.67,3.801,4.981
119,IX,119,Azad Nagar North / South,13.33,12.34,12.12,11.62,10.87,10.66,10.42,10.53,10.11,9.33,4.254,5.035
120,IX,120,Krishnampet,9.53,9.21,9.03,8.93,8.9,8.87,8.57,10.3,7.91,7.27,2.443,2.733
121,IX,121,Vivekanandhapuram,4.1,3.71,3.68,3.89,3.54,3.76,3.53,8.18,2.8,2.19,GL,1.809
122,IX,122,Alwarpet (South),10.39,10.9,11.58,12.38,11.93,12.02,11.75,3.06,12.11,12.09,4.406,8.546
123,IX,123,Bhemmannapet,6.64,7.31,7.65,9.12,7.44,8.43,7.87,12.14,6.78,6.49,2.588,5.001
124,IX,124,Mylapore,7.34,7.08,7.09,7.22,7.25,7.27,7.08,7.18,6.57,5.88,2.462,3.23
125,IX,125,Santhome,2.49,2.69,2.89,3.23,3.37,3.46,3.17,6.84,2.58,1.98,GL,0.453
126,IX,126,Avvai Nagar North,4.82,5.09,5.32,5.43,5.36,5.3,5.19,2.96,4.79,4.46,2.825,3.947
127,X,127,Virugambakkam North,6.93,8.09,8.81,9.8,8.86,10.09,9.29,8.16,8.44,8.72,3.632,8.065
128,X,128,Virugambakkam South,1.83,2.12,2.5,2.88,3.21,3.33,2.9,5.49,2.54,2.62,1.034,2.487
129,X,129,Saligramam,2.33,2.85,3.35,3.72,4.08,4.31,3.61,2.38,2.76,2.67,1.509,0.919
130,X,130,Vadapalani West,4.46,4.82,5.16,5.68,5.41,5.92,5.82,3.23,5.08,4.99,0.587,3.001
131,X,131,Kodambakkam North,2.33,2.57,2.65,2.76,2.96,3.07,2.58,5.77,2.38,2.31,1.195,1.625
132,X,132,Ashok Nagar,2.76,3.48,3.98,4.05,4.08,4.91,3.71,3.41,3.18,2.98,0.654,2.444
133,X,133,MGR Nagar,5.77,5.85,5.92,6.17,5.73,6.12,6.1,5.99,5.81,5.48,1.736,3.974
134,X,134,Navalar Nedunchezian Nagar East,3.55,4.1,4.43,4.58,4.75,4.98,4.24,4.01,3.31,2.94,1.79,2.896
135,X,135,Kamarajar Nagar South / East,3.13,4.53,5.01,4.52,4.21,4.52,3.27,3.59,3.49,3.51,GL,3.065
136,X,136,Thiyagaraya Nagar,2.98,3.23,3.58,3.88,2.8,4.54,4.02,15.21,3.86,3.74,0.767,3.019
137,X,137,Kodambakkam (S),2.02,2.07,2.09,2.5,2.6,2.66,2.16,1.99,1.6,1.22,0.612,1.676
138,X,138,Kalaignar Karunanidhi Nagar,9.79,10.52,15.48,0,14.82,16.24,15.94,15.22,14.49,15.81,6.339,7.28
139,X,139,Saidapet (West),3.53,3.99,4.25,4.59,4.49,4.86,4.29,3.98,3.62,3.15,2.36,2.012
140,X,140,Kumaran Nagar North / South,2.64,3.32,3.69,3.91,3.66,3.8,3.55,7.96,3.68,3.45,0.579,1.579
141,X,141,VOC Nagar,10.98,11.15,11.39,11.34,10.61,10.49,10.54,10.78,10.84,11.11,7.838,9.269
142,X,142,Saidapet East,7.31,7.4,7.54,7.75,7.89,7.97,7.89,7.92,7.84,7.68,4.861,5.031
143,XI,143,Nolambur,2.12,2.64,2.96,3.54,3.63,3.97,3.87,4,3.64,3.3,0.302,1.666
144,XI,144,Mettukuppam,3.53,4.33,4.97,5.38,5.41,5.78,5.64,5.6,5.54,5.27,0.963,2.221
145,XI,145,Nerkundram,2.7,3.61,4.14,4.67,4.83,4.52,4.45,4.25,3.85,2.51,0.248,2.195
146,XI,146,Nerkundram,2.2,2.88,3.2,3.49,3.84,4.26,4.11,0,4.25,4.2,1.2,0.929
147,XI,147,Maduravoyal,1.23,2.07,2.56,2.75,3.3,3.54,3.44,4.23,3.7,3.56,GL,0.269
148,XI,148,Nerkundram,2.03,2.51,3.06,2.74,3.29,4.02,3.65,3.72,0,3.25,0.537,1.36
149,XI,149,Valasaravakkam,2.02,2.53,2.94,3.63,3.69,4.03,3.65,3.53,3.55,3.18,0.98,1.46
150,XI,150,Karambakkam,1.93,2.46,2.8,3.48,3.53,3.61,3.47,3.61,3.24,2.91,0.789,1.255
151,XI,151,Porur,2.48,3.07,3.49,3.18,3.37,4.66,4.62,3.16,4.77,4.69,0.773,1.485
152,XI,152,Valasaravakkam,2.99,3.38,3.73,3.93,4.26,4.78,4.76,4.73,5,5.11,1.563,2.188
153,XI,153,Porur,3.18,3.62,3.98,4.11,4.41,4.69,4.39,5.02,4.61,4.98,2.397,2.927
154,XI,154,Ramapuram,2.95,3.67,4.05,4.19,4.54,5.18,5.03,4.09,4.96,4.78,0.157,1.586
155,XI,155,Ramapuram,3.06,3.26,3.48,4.44,4.81,4.37,4.37,4.88,4.38,4.3,0.44,1.923
156,XII,156,Mugalivakkam,11.82,12.76,14.07,14.67,14.27,15.11,15.12,4.38,15.41,15.22,9.035,11.937
157,XII,157,Manapakkam,2.26,3.23,4.02,5,5.67,6.48,6.48,15.19,6.62,5.98,0.658,1.91
158,XII,158,Nandambakkam,3.58,4.87,5.74,6.3,7.12,7.03,6.62,6.78,6.77,6,2.15,3.473
159,XII,159,Meenampakkam,3.06,3.55,3.86,4.75,4.61,4.78,4.45,4.23,4,3.71,1.29,2.612
160,XII,160,Alandur,1.57,3.29,4.52,5.93,6.72,6.76,5.01,6.81,4.06,2.97,0.111,1.357
161,XII,161,Alandur Part / Adampakkam Part,2.7,2.8,2.61,2.65,2.97,2.71,2.79,4.48,2.55,2.55,1.83,2.634
162,XII,162,T.G.Nagar / Nanganallur Part,3.06,3.83,4.15,4.35,4.53,4.35,3.71,3.95,2.94,2.76,1.95,2.495
163,XII,163,Adampakkam Part,2.24,3.07,3.82,4.09,4.27,4.17,2.82,2.57,1.98,1.63,1.509,2.008
164,XII,164,Nanganallur Part / Pazhavanthangal Part,3.65,3.77,4.03,4.5,4.42,4.37,4,3.19,2.99,2.98,1.532,3.08
165,XII,165,Adampakkam Part / Balaji Nagar,3.48,4.41,4.71,5.21,5.59,5.18,4.42,2.17,3.49,3.41,2.032,3.489
166,XII,166,B.V.Nagar / Nanganallur Part,1.97,2.37,2.51,3.24,3.2,4.76,2.64,2.79,1.88,1.82,1.409,2.097
167,XII,167,Nanganallur,2.62,2.97,3.17,3.27,3.05,3.02,2.92,4.01,2.26,2.35,1.769,2.501
170,XIII,170,Guindy West,4.3,4.64,4.82,5.12,5.17,5.32,5.19,2.48,5.17,4.99,0.871,2.774
171,XIII,171,GD Naidu Nagar South,5.68,5.94,6.17,6.44,6.38,6.5,6.29,5.22,6.42,6.3,1.25,3.433
172,XIII,172,GD Naidu Nagar East,1.19,1.13,1.56,1.67,1.74,2.89,1.52,6.35,1.2,2.27,GL,0.302
173,XIII,173,Raja Annamalaipuram,1.45,1.65,1.83,1.92,2.03,1.8,1.61,1.47,0,1.18,0.031,1.11
174,XIII,174,Guindy East,1.4,1.53,1.74,1.58,1.86,2.07,1.71,1.52,1.31,1.29,0.875,1.605
175,XIII,175,Adyar West,4.71,5.04,5.35,5.74,5.97,6.19,6.2,1.32,5.92,5.03,0.608,1.547
176,XIII,176,Adyar East,3.26,3.42,3.53,3.53,3.74,4.05,4.19,6.16,3.9,3.39,0.564,1.483
177,XIII,177,Velachery,2.03,2.65,2.87,2.98,2.67,2.01,1.93,4.06,0,1.09,0.575,1.006
178,XIII,178,Velachery,1.11,1.13,1.21,1.17,1.16,0.98,0.66,1.38,0.34,0.41,0.211,0.545
179,XIII,179,Velachery,2.81,3.11,3.24,3.42,3.47,3.35,2.77,0.48,2.1,1.82,0.952,1.977
180,XIII,180,Thiruvanmiyur West,1.02,1.24,1.46,1.57,1.87,1.62,1.47,2.46,0.74,0.9,0.304,0.48
181,XIII,181,Thiruvanmiyur,1.83,2.07,2.26,2.42,2.56,2.68,2.63,1.05,2.48,2.17,0.41,1.125
182,XIII,182,Thiruvanmiyur,2.76,3.03,3.3,3.55,3.72,3.92,3.86,2.62,3.73,3.35,1.098,1.684
,XIV,168,Ullagaram,4.03,4.54,4.95,5.68,6.25,6.55,6.5,3.89,5.37,4.4,2.143,2.84
,XIV,169,Puzhuthivakkam,0.87,1.29,1.74,2.43,1.99,2.06,1.27,6.23,0.17,0.31,GL,0.52
183,XIV,183,Kottivakkam,3.56,3.77,3.97,4.2,4.2,4.28,3.8,0.41,3.32,2.85,2.167,2.816
184,XIV,184,Perungudi,2.6,3.13,3.8,4.31,3.97,4.42,3.64,10.83,3.37,2.58,1.362,2.388
185,XIV,185,Palavakkam,3.37,3.57,3.62,3.85,3.99,4.07,3.86,3.02,3.71,3.63,2.269,3.064
186,XIV,186,Perungudi,7,9.01,10.14,11.05,11.14,11.23,11.2,10.83,10.58,9.2,1.259,5.504
187,XIV,187,Madipakkam,1.45,1.84,2.2,2.42,2.94,3.31,2.75,3.02,2.14,2.35,0.17,0.358
188,XIV,188,Madipakkam,2.34,3.08,3.87,5.19,5.65,5.71,5.04,3.84,2.72,1.98,1.437,2.018
189,XIV,189,Pallikaranai,2.67,3.42,4.02,5.23,5.36,5.83,4.49,3.02,2.96,2.52,1.96,2.644
190,XIV,190,Pallikarania,2.28,2.76,3.42,4.48,5.08,5.57,4.97,4.58,4.09,3.19,1.27,2
191,XIV,191,Jalladampettai,4.71,4.82,5.14,5.34,4.94,5.24,4.36,3.7,4,3.29,1.445,3.658
192,XV,192,Neelankarai,4.5,4.62,4.99,5.37,5.67,5.85,5.78,5.86,5.93,5.82,2.444,3.463
193,XV,193,Neelankarai,1.81,2.24,2.45,2.67,3.47,3.53,3.51,3.39,3.02,3.06,2.222,2.456
194,XV,194,Okkiyam Thuraipakkam,2.14,2.24,2.42,2.64,2.53,2.62,2.38,2.14,2.09,2.06,1.299,1.902
195,XV,195,Okkiyam Thuraipakkam,1.8,2.21,2.01,2.1,1.96,1.93,1.79,1.53,1.59,1.69,1.027,1.706
196,XV,196,Injampakkam,5.62,5.92,6.15,6.44,6.6,6.76,6.74,6.74,6.7,6.5,4.831,5.149
197,XV,197,Karapakkam,1.78,2.23,2.64,3.17,3.93,4.5,4.4,4.01,4.13,3.16,0.119,1.25
198,XV,198,Shozhinganallur,3.7,4.53,4.92,5.8,4.76,5.67,4.84,2.36,4.45,3.77,2.256,3.601
199,XV,199,Uthandi,1.82,1.93,2.19,2.48,2.58,2.77,2.61,2.82,2.43,2.19,0.588,1.155
200,XV,200,Semmenchery,2.49,2.86,3.3,3.98,3.9,4.68,4.24,4.96,3.45,2.88,0.169,1.905
